v_bin,n_records,power_mean,power_std,power_p25,power_p75,Cp,year
5.25,2692,151.9597004955695,33.06186788984208,130.66439315971292,174.21156714866902,0.3246585461599142,2020
5.75,2729,221.5322283713858,36.88468484005325,196.63721771240245,246.80677490234385,0.36025473926803453,2020
6.25,2808,304.59263331145223,45.82929159536099,273.2356217066448,336.3777156829835,0.385705351309905,2020
6.75,2612,407.02558101931726,54.55891321744993,373.10476822257044,441.8553473154705,0.40915391138532414,2020
7.25,2503,520.795771617634,65.19546552504451,482.93347445082395,562.8119752204282,0.4225029548571067,2020
7.75,2347,642.666865228162,78.88855581389544,600.2867848714193,689.6334349132721,0.4268321483046159,2020
8.25,1050,752.666622668287,90.8074739679512,716.5499739329025,802.6453444344658,0.41439750567974754,2020
8.75,127,977.984308004592,86.13631204449868,917.1662046235191,1035.0257425944014,0.45131944795100054,2020
9.25,305,1113.9297147723394,75.97966726705351,1057.973006184896,1168.8655794583842,0.43511986572835964,2020
9.75,553,1262.5271541562706,90.25492744303996,1207.5324442545575,1326.2959228515622,0.42111741462766983,2020
10.25,812,1407.864184296191,92.86780941751769,1349.884680684409,1470.7433462300228,0.4041713131636286,2020
10.75,983,1538.4841158963754,91.06597388928238,1480.0508483886733,1597.8223459879591,0.38286348202789133,2020
11.25,1034,1670.6052189548532,95.49684164287399,1608.1242438778181,1736.6941691080738,0.3627376100758481,2020
11.75,1048,1783.6343083805016,96.82005365033936,1717.4827941894546,1853.5593688964848,0.3399135979147723,2020
12.25,931,1858.9774291040678,91.01533256732594,1795.6895101262253,1926.836094156903,0.31263829351320827,2020
12.75,856,1922.5668594034958,79.54720768037167,1873.3119295756037,1981.9825764973978,0.2867657093250229,2020
13.25,798,1958.8975433070218,66.92286982857067,1917.557775878908,2012.170605468753,0.2603397045154253,2020
13.75,755,1983.6603276781766,55.485638650115476,1950.663521321615,2025.5124186197927,0.2359041244876421,2020
14.25,619,1993.3712062562322,52.548540557512084,1963.3467081705764,2034.9997769059828,0.21297072458827582,2020
