v_bin,n_records,power_mean,power_std,power_p10,power_p90,v_mean,Cp,turbine_id
8.25,1051,732.2206863627732,93.79928412111202,647.8438757534686,830.1584635416667,7.885553347911154,0.40314053645709874,T02
8.75,177,965.1845804996643,91.86002093756227,845.642881469727,1073.4580895996103,8.536544546933511,0.44541263952456095,T02
9.25,395,1109.0470051289728,85.74761020350238,995.79799967448,1219.306370442709,9.037532797583937,0.4332125964130363,T02
9.75,673,1243.5600992400032,90.65565105474127,1126.9189892578136,1357.9617728678413,9.507602443043165,0.41479093119074334,T02
10.25,915,1376.7463924685158,90.31816904253213,1263.6904610188822,1487.8548486328143,10.001570229996693,0.39523798072571925,T02
10.75,1034,1517.8648445767258,92.97550207410386,1397.2860791524265,1637.8772300211576,10.503471067887464,0.37773221942156965,T02
11.25,1069,1644.9823402136901,97.13483973833068,1516.9712019856784,1772.9452634910308,10.998315035655642,0.3571741282356277,T02
11.75,1008,1754.0859083434977,98.49056753843736,1620.4876626902628,1876.7631111653654,11.492191566693336,0.33428245316609195,T02
12.25,900,1837.2679945825287,97.52849616220435,1705.8221425374363,1957.452174560549,11.994122481430898,0.3089872537234343,T02
12.75,848,1905.870509948022,86.7633693254149,1791.6122601528832,2009.9967362467505,12.495344462050513,0.2842753197339826,T02
13.25,796,1940.1925331039602,74.58865598941495,1846.3868947347025,2025.3244166782947,13.00232529980992,0.2578537874515844,T02
13.75,692,1970.9121667738382,62.40897039527558,1878.8142740885428,2037.2508190917993,13.493877215524883,0.23438806667522138,T02
14.25,556,1985.1382711298606,56.41796573448427,1908.3374719864296,2041.7672078450546,13.989261282904598,0.21209112215705345,T02
14.75,474,2002.0711491263328,43.07964888591639,1939.2849243164092,2045.6830433391747,14.474641500826182,0.19287670010350788,T02
15.25,476,2004.9826570002317,41.665298293921055,1946.7237294514969,2045.5894438567,15.00657144727097,0.1747742351057489,T02
15.75,395,2012.8984088757131,40.18075966859114,1964.3107584635459,2047.785171712242,15.494494290368149,0.1592782601210595,T02
16.25,346,2020.2044603642507,32.69405122544159,1975.0280324300145,2048.661776620372,15.985197732115468,0.1455497790590229,T02
16.75,273,2024.1164328729394,27.51598289196984,1989.165726725262,2050.609841308595,16.498325874056157,0.13315803492247785,T02
17.25,244,2028.3633358263903,23.169520043290692,1994.5031982421879,2049.2373746744825,16.987084596064044,0.12216724335827162,T02
17.75,247,2029.9303825693546,22.452275176236764,1997.1946093750032,2049.9755777994847,17.500282353360856,0.11221796595567643,T02
